QUESTION,BT LEVEL,Processed Question,Prediction (Naïve Bayes),Prediction (Random Forest),Prediction (SVM)
Paraphrase an important speech,Comprehension,paraphras an import speech,Understand,Understand,Understand
How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,Synthesis,how do you combin the result of variou individu test to determin whether a student can progress to a next semest / phase / year?,Analyze,Analyze,Analyze
Illustrate what you think the main idea was.,Comprehension,illustr what you think the main idea was.,Understand,Understand,Understand
Appraise data in support of a hypothesis.,Evaluation,apprais data in support of a hypothesis.,Evaluate,Evaluate,Evaluate
" How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analysis,"how do you distinguish between the binge-eating/purg type of anorexia nervosa and bulimia nervosa, purg type",Analyze,Analyze,Analyze
How do we efficiently combine multiple subject graphs to construct an aig with choice,Synthesis,how do we effici combin multipl subject graph to construct an aig with choic,Apply,Apply,Apply
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,Evaluation,decid whether you are in favor of build on a floodplain; defend your posit in a debate.,Evaluate,Evaluate,Evaluate
 How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,Comprehension,how would you compar sa with the visual basic applic and spss for the process and analysi of mainfram data,Analyze,Understand,Analyze
How would you differentiate between heterodox and mainstream,Analysis,how would you differenti between heterodox and mainstream,Analyze,Analyze,Analyze
Given two opposing theories design an experiment to compare them.,Synthesis,given two oppos theori design an experi to compar them.,Analyze,Create,Analyze
Use a sketch too find the exact value of each expression,Application,use a sketch too find the exact valu of each express,Apply,Analyze,Apply
Design and make an animal that moves.,Synthesis,design and make an anim that moves.,Create,Create,Create
How would the U.S.A. be different if the South had won the Civil War?,Synthesis,how would the u.s.a. be differ if the south had won the civil war?,Analyze,Analyze,Analyze
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),Knowledge,identifi which word begin with the same sound a the s in sun (knowledg of letter s),Analyze,Analyze,Analyze
Describe in your own words how to borrow a book from the library.,Comprehension,describ in your own word how to borrow a book from the library.,Understand,Remember,Understand
Apply the storytelling technique here to a little story of your own.,Application,appli the storytel techniqu here to a littl stori of your own.,Apply,Apply,Apply
Make a diorama to illustrate an important event.,Application,make a diorama to illustr an import event.,Understand,Create,Understand
Describe the Pareto Principle in statistical software quality assurance.,Comprehension,describ the pareto principl in statist softwar qualiti assurance.,Understand,Remember,Understand
who is the founder of the kingdom of saudi Arabia,Knowledge,who is the founder of the kingdom of saudi arabia,Analyze,Analyze,Analyze
Explain in your own words what is meant by mercantilism.,Comprehension,explain in your own word what is meant by mercantilism.,Understand,Evaluate,Understand
Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,Synthesis,design a test scenario to assess the suscept of an alloy to be use in a given environment?,Analyze,Analyze,Analyze
Which of the following is the method for determining the volume of a cylinder?,Knowledge,which of the follow is the method for determin the volum of a cylinder?,Analyze,Analyze,Analyze
How would this story be different if it had happened in a different country?,Analysis,how would thi stori be differ if it had happen in a differ country?,Analyze,Analyze,Analyze
Can you see a possible solution to . . .?,Synthesis,can you see a possibl solut to . . .?,Analyze,Analyze,Analyze
 Label the parts of the microscope shown on the right,Knowledge,label the part of the microscop shown on the right,Remember,Remember,Remember
in what ways trajectory patterns differ according to ABC,Analysis,in what way trajectori pattern differ accord to abc,Analyze,Analyze,Analyze
State in your own words what the author means when he says,Comprehension,state in your own word what the author mean when he say,Remember,Remember,Remember
Translate a written text aloud from L2 to English.,Comprehension,translat a written text aloud from l2 to english.,Understand,Understand,Understand
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",Evaluation,"given the data we'v look at on thi topic, evalu how appropri thi conclus is and defend your answer.",Evaluate,Evaluate,Evaluate
Tell how Phillip kept himself alive after Timothy died.,Comprehension,tell how phillip kept himself aliv after timothi died.,Understand,Remember,Remember
Write a letter to the editor on a social issue of concern to you.,Synthesis,write a letter to the editor on a social issu of concern to you.,Create,Create,Create
Summarize a story in own words.,Comprehension,summar a stori in own words.,Create,Create,Create
How to inspect and maintain fresh water plumbing systems properly,Analysis,how to inspect and maintain fresh water plumb system properli,Analyze,Analyze,Analyze
Summarize a historical document,Comprehension,summar a histor document,Create,Create,Create
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",Comprehension,"explain what the author mean by the statement ""our intellectu power are gear to master static relations.",Understand,Evaluate,Understand
Contrast Olympic athletes of today with athletes of past Olympic games.,Analysis,contrast olymp athlet of today with athlet of past olymp games.,Analyze,Analyze,Analyze
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",Synthesis,"how do the claus and express given in the articl which replac goto statements, lead to the three tradit control statement",Understand,Understand,Understand
What do you think about . . .?,Evaluation,what do you think about . . .?,Analyze,Analyze,Analyze
Compose an original work which incorporates five common materials in sculpture.,Synthesis,compos an origin work which incorpor five common materi in sculpture.,Create,Create,Create
Use tableau methods to prove that the following tableau is valid.,Application,use tableau method to prove that the follow tableau is valid.,Apply,Apply,Apply
Specify the thickness of a galvanized coating based on atmospheric data? (level 2) ,Application,specifi the thick of a galvan coat base on atmospher data? (level 2),Understand,Understand,Understand
which part of a data packet is used by a router to determine the destination network,Knowledge,which part of a data packet is use by a router to determin the destin network,Apply,Apply,Apply
Restate main idea of story in own words.,Comprehension,restat main idea of stori in own words.,Understand,Understand,Understand
Compare this book to the last book you read.,Analysis,compar thi book to the last book you read.,Analyze,Understand,Analyze
"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",Synthesis,"follow the identif of the form of corros that were involv in a failure, recommend a solut to avoid thi failure?",Evaluate,Evaluate,Evaluate
Calculate the deflection of a beam under uniform loading.,Application,calcul the deflect of a beam under uniform loading.,Analyze,Analyze,Analyze
Demonstrate how the seasons occur.,Application,demonstr how the season occur.,Apply,Apply,Apply
Explain the causes of historical events,Comprehension,explain the caus of histor event,Understand,Evaluate,Understand
Restate the Olympic motto in your own words.,Comprehension,restat the olymp motto in your own words.,Understand,Understand,Understand
Classify frogs toads and other amphibians.,Comprehension,classifi frog toad and other amphibians.,Analyze,Analyze,Analyze
Construct a model to demonstrate how it will work.,Application,construct a model to demonstr how it will work.,Apply,Apply,Apply
Summarize this magazine article.,Comprehension,summar thi magazin article.,Create,Create,Create
Name the food groups and at least two items of food in each group.,Knowledge,name the food group and at least two item of food in each group.,Analyze,Analyze,Analyze
Why not compose a song about . . .?,Synthesis,whi not compos a song about . . .?,Understand,Understand,Understand
can you devise an explicit formula for,Synthesis,can you devis an explicit formula for,Create,Create,Create
 What happens if you restrict a determinental process to a subset R  S? ,Application,what happen if you restrict a determinent process to a subset r s?,Analyze,Analyze,Analyze
List the procedure to draw a mixed potential or Evans' diagram,Knowledge,list the procedur to draw a mix potenti or evans' diagram,Analyze,Remember,Analyze
Compare historical events to contemporary situations,Comprehension,compar histor event to contemporari situat,Analyze,Understand,Analyze
Name the four major food groups.,Knowledge,name the four major food groups.,Analyze,Analyze,Analyze
 Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,Application,sketch a predict of the field line for the arrang of electrod shown in figur 2,Analyze,Analyze,Analyze
Develop one plausible ending for all three short stories below.,Synthesis,develop one plausibl end for all three short stori below.,Understand,Understand,Understand
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,Application,relat your most power stori where your use of technolog in the classroom ha yield a signific outcom with a student or student,Understand,Apply,Understand
Paraphrase what Hamlet is saying in his soliloquy.,Comprehension,paraphras what hamlet is say in hi soliloquy.,Understand,Understand,Understand
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,Application,calcul the rate of habitat fragment within the colorado front rang in the last decade.,Analyze,Analyze,Analyze
who was the first to compose in the arts of makamat,Knowledge,who wa the first to compos in the art of makamat,Analyze,Analyze,Analyze
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Evaluation,"after examin the videotap of a play in a footbal game, determin the degre to which the defens team perform effect and",Analyze,Analyze,Analyze
What can I do to investigate this problem further,Analysis,what can i do to investig thi problem further,Analyze,Analyze,Analyze
  Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,Comprehension,describ and compar the role of islam law in the legal system of malaysia and pakistan,Understand,Understand,Understand
How would you investigate this abnormality,Analysis,how would you investig thi abnorm,Analyze,Analyze,Analyze
Can you explain what must have happened when . . .?,Analysis,can you explain what must have happen when . . .?,Understand,Evaluate,Understand
Examine the data in the EMPLOYEES and DEPARTMENTS tables,Analysis,examin the data in the employe and depart tabl,Analyze,Analyze,Analyze
How many kilometers from your home to the university,Knowledge,how mani kilomet from your home to the univers,Analyze,Analyze,Analyze
in which countries is arabic language spoken,Knowledge,in which countri is arab languag spoken,Analyze,Analyze,Analyze
Construct a dictionary and a truth table to determine if the following statements are logically equivalent,Application,construct a dictionari and a truth tabl to determin if the follow statement are logic equival,Apply,Apply,Apply
How many ways can you . . .?,Synthesis,how mani way can you . . .?,Analyze,Analyze,Analyze
How would you differentiate obstructive apneas from central apneas,Analysis,how would you differenti obstruct apnea from central apnea,Analyze,Analyze,Analyze
Suggest  any  TWO  (2)  efforts  that  organization  may  perform  in  order  to discourage unethical behavior.,Synthesis,suggest ani two (2) effort that organ may perform in order to discourag uneth behavior.,Analyze,Remember,Analyze
Discuss how Resource Based View can be implemented in organizations to reinforce financial standing.,Application,discu how resourc base view can be implement in organ to reinforc financi standing.,Understand,Apply,Understand
Define factors of production.,Knowledge,defin factor of production.,Remember,Remember,Remember
Briefly describe FIVE (5) general types of factors of production.,Comprehension,briefli describ five (5) gener type of factor of production.,Understand,Understand,Understand
"In your opinion,  provide  any  TWO  (2)  reasons  why  the  actions  of  one  firm  can significantly affect the sales of the other firms in an oligopoly market. ",Comprehension,"in your opinion, provid ani two (2) reason whi the action of one firm can significantli affect the sale of the other firm in an oligopoli market.",Understand,Understand,Understand
Define electronic commerce.,Knowledge,defin electron commerce.,Remember,Remember,Remember
Explain THREE (3) broad categories of e-commerce with examples.,Comprehension,explain three (3) broad categori of e-commerc with examples.,Understand,Evaluate,Understand
Discuss any THREE (3) ways by which an organization can benefit from e-commerce.,Comprehension,discu ani three (3) way by which an organ can benefit from e-commerce.,Understand,Understand,Understand
Advise Smith on any FIVE (5) types of information which should be included in the website.,Synthesis,advis smith on ani five (5) type of inform which should be includ in the website.,Analyze,Analyze,Analyze
Suggest any THREE (3) specific ways with elaborations on how this new business may utilize the Internet technology to achieve cost efficiency.,Synthesis,suggest ani three (3) specif way with elabor on how thi new busi may util the internet technolog to achiev cost efficiency.,Apply,Apply,Apply
Differentiate between data and information using examples.,Analysis,differenti between data and inform use examples.,Analyze,Apply,Analyze
State any FOUR (4) characteristics of valuable information.,Knowledge,state ani four (4) characterist of valuabl information.,Remember,Remember,Remember
Explain the differences between volatile and non-volatile storage.,Comprehension,explain the differ between volatil and non-volatil storage.,Understand,Evaluate,Understand
Suggest THREE (3) specific types of application software  that  may help to  support James's business activities. ,Synthesis,suggest three (3) specif type of applic softwar that may help to support james' busi activities.,Analyze,Analyze,Analyze
List and describe THREE (3) accounting cycles in an Accounting Information System.,Knowledge,list and describ three (3) account cycl in an account inform system.,Understand,Remember,Understand
Explain how SWOT and Porter's techniques is applied in the manufacturing industries.,Application,explain how swot and porter' techniqu is appli in the manufactur industries.,Apply,Evaluate,Understand
State FOUR (4) basic business activities that are performed in the revenue cycle.,Knowledge,state four (4) basic busi activ that are perform in the revenu cycle.,Remember,Remember,Remember
List any THREE (3) practical approaches for payment collection  in revenue cycle.,Knowledge,list ani three (3) practic approach for payment collect in revenu cycle.,Apply,Remember,Apply
Compare and contrast Manufacturing Resource Planning  (MRP-II) and Lean Manufacturing.,Analysis,compar and contrast manufactur resourc plan (mrp-ii) and lean manufacturing.,Analyze,Understand,Analyze
"As a manager in an Information Technology firm, suggest and elaborate any THREE (3) actions that organizations can take as part of the responsibility towards the society.",Synthesis,"a a manag in an inform technolog firm, suggest and elabor ani three (3) action that organ can take a part of the respons toward the society.",Apply,Apply,Apply
Illustrate each of these situations with TWO (2) real-life examples.  ,Comprehension,illustr each of these situat with two (2) real-lif examples.,Understand,Understand,Understand
Explain the differences between ethical dilemma and ethical lapse.,Comprehension,explain the differ between ethic dilemma and ethic lapse.,Understand,Evaluate,Understand
Suggest and justify ONE (1) strategy that your company may consider for marketing its products internationally. ,Evaluation,suggest and justifi one (1) strategi that your compani may consid for market it product internationally.,Analyze,Analyze,Analyze
Differentiate between Market Economy and Planned Economy.,Analysis,differenti between market economi and plan economy.,Analyze,Analyze,Analyze
Provide  each  of  Market  Economy  and  Planned  Economy  with  an example.,Comprehension,provid each of market economi and plan economi with an example.,Analyze,Analyze,Analyze
Differentiate between a wholesaler and a retailer.,Analysis,differenti between a wholesal and a retailer.,Analyze,Analyze,Analyze
"In your opinion, identify the relationship between factors of and a country's economic system.",Comprehension,"in your opinion, identifi the relationship between factor of and a country' econom system.",Analyze,Analyze,Analyze
Briefly  describe  THREE  (3) types  of business  process  that  traditionally organized around functional areas of business. Provide an example of each.,Knowledge,briefli describ three (3) type of busi process that tradit organ around function area of business. provid an exampl of each.,Understand,Understand,Understand
Propose  and justify ONE  (1)  international market-entry strategy  that   you   may   consider   to market your   products internationally.,Evaluation,propos and justifi one (1) intern market-entri strategi that you may consid to market your product internationally.,Create,Create,Create
Construct a basic diagram or figure to demonstrate your understandings on what Information System is.,Comprehension,construct a basic diagram or figur to demonstr your understand on what inform system is.,Analyze,Analyze,Analyze
State a main difference between a customer and a contact.,Comprehension,state a main differ between a custom and a contact.,Remember,Remember,Remember
Identify ONE (1) most likely error of the following quotation.,Knowledge,identifi one (1) most like error of the follow quotation.,Analyze,Analyze,Analyze
Determine  which  sub-stage that the  deal  is currently  in for the  following cases.,Application,determin which sub-stag that the deal is current in for the follow cases.,Analyze,Analyze,Analyze
"Three sales sub-stages: qualification, proposition and negotiation are included in both OpenERP and SugarCRM, before a deal is won. Give a brief description of these sub-stages.",Comprehension,"three sale sub-stages: qualification, proposit and negoti are includ in both openerp and sugarcrm, befor a deal is won. give a brief descript of these sub-stages.",Understand,Remember,Remember
State your recommended solution with justification.,Evaluation,state your recommend solut with justification.,Evaluate,Evaluate,Evaluate
Explain TWO (2) ways on how monopoly harms consumers and hurts the economy. Justify and illustrate your answers.,Evaluation,explain two (2) way on how monopoli harm consum and hurt the economy. justifi and illustr your answers.,Understand,Understand,Understand
Suggest and elaborate any TWO (2) efforts or methods that your company may use in order to gain competitive advantage over your competitors.,Synthesis,suggest and elabor ani two (2) effort or method that your compani may use in order to gain competit advantag over your competitors.,Analyze,Analyze,Analyze
Justify your answers with elaborations by providing any TWO (2) reasons.,Evaluation,justifi your answer with elabor by provid ani two (2) reasons.,Analyze,Analyze,Analyze
Differentiate between data and information using a real life example.,Analysis,differenti between data and inform use a real life example.,Analyze,Apply,Analyze
Briefly  discuss  on the  difference  between  volatile  and  non-volatile storage.,Comprehension,briefli discu on the differ between volatil and non-volatil storage.,Understand,Understand,Understand
Briefly discuss any THREE (3) specific internet technologies or tools that are commonly found in providing support for business activities.,Comprehension,briefli discu ani three (3) specif internet technolog or tool that are commonli found in provid support for busi activities.,Understand,Understand,Understand
Provide a real life example on conflict of interest situation.,Comprehension,provid a real life exampl on conflict of interest situation.,Understand,Understand,Understand
Illustrate  your understanding for oligopoly competition and monopolistic competition using ONE (1) real life example for each.,Comprehension,illustr your understand for oligopoli competit and monopolist competit use one (1) real life exampl for each.,Understand,Understand,Understand
Briefly discuss any TWO (2) consequences for whistle-blowing activity.,Comprehension,briefli discu ani two (2) consequ for whistle-blow activity.,Understand,Understand,Understand
List any TWO (2) real life examples of  the  organization  that implement the clicks-and-bricks B2C E-Commerce.,Knowledge,list ani two (2) real life exampl of the organ that implement the clicks-and-brick b2c e-commerce.,Apply,Apply,Apply
Provide THREE (3) examples of input devices.,Knowledge,provid three (3) exampl of input devices.,Understand,Understand,Understand
Identify and discuss THREE (3) issues on employee productivity problems that companies face.,Comprehension,identifi and discu three (3) issu on employe product problem that compani face.,Understand,Understand,Understand
Briefly provide any TWO (2) real life situations to illustrate on ethical dilemma.,Comprehension,briefli provid ani two (2) real life situat to illustr on ethic dilemma.,Understand,Understand,Understand
Propose  an  e-commerce  classification  model  that  suits the  needs  of  John's business. Justify your answer.,Evaluation,propos an e-commerc classif model that suit the need of john' business. justifi your answer.,Create,Create,Create
Explain the concept of clicks-and-bricks model in e-commerce.,Comprehension,explain the concept of clicks-and-brick model in e-commerce.,Understand,Evaluate,Understand
Explain each inventory control method and suggest TWO (2) types of products for each method.,Synthesis,explain each inventori control method and suggest two (2) type of product for each method.,Analyze,Evaluate,Analyze
Explain Greimas square tool and discuss how it can be applied the aviation industry.,Application,explain greima squar tool and discu how it can be appli the aviat industry.,Understand,Understand,Understand
List   THREE  (3) advantages  and  TWO  (2)  disadvantages codification.,Knowledge,list three (3) advantag and two (2) disadvantag codification.,Analyze,Analyze,Analyze
Identify and discuss THREE (3) issues on employee productivity problems that companies face.,Comprehension,identifi and discu three (3) issu on employe product problem that compani face.,Understand,Understand,Understand
Provide TWO  (2) possible reasons why AirAsia  decide to offer this new online service.,Comprehension,provid two (2) possibl reason whi airasia decid to offer thi new onlin service.,Understand,Understand,Understand
Identify  THREE  (3) possible  threats  you  should  anticipate  for this Internet-based business.,Comprehension,identifi three (3) possibl threat you should anticip for thi internet-bas business.,Analyze,Analyze,Analyze
Suggest THREE (3) methods Game2 can take to prevent damage to its Web sites and continuing operations.  Justify your answer.,Evaluation,suggest three (3) method game2 can take to prevent damag to it web site and continu operations. justifi your answer.,Analyze,Analyze,Analyze
Explain  the  concept  of  Customer  Relationship  Management  (CRM).,Comprehension,explain the concept of custom relationship manag (crm).,Evaluate,Evaluate,Evaluate
Apply Porter's five competitive forces analysis to examine the summer job industry for your uncle.,Application,appli porter' five competit forc analysi to examin the summer job industri for your uncle.,Analyze,Analyze,Analyze
Discover FOUR (4) characteristic of IT infrastructure to be considered.,Synthesis,discov four (4) characterist of it infrastructur to be considered.,Analyze,Analyze,Analyze
Concisely define what SWOT analysis is and state why it is frequently producing conflicting views.,Comprehension,concis defin what swot analysi is and state whi it is frequent produc conflict views.,Remember,Remember,Remember
Formulate the profit for the company. ,Synthesis,formul the profit for the company.,Create,Create,Create
Discuss the extent to which Value Chain Analysis can be applied in the logistics sector.,Application,discu the extent to which valu chain analysi can be appli in the logist sector.,Understand,Evaluate,Understand
Information systems value is determined by the strong relationships among THREE (3) major components. Name them.,Knowledge,inform system valu is determin by the strong relationship among three (3) major components. name them.,Evaluate,Evaluate,Evaluate
Cloud computing evolved from earlier technologies. State them.,Knowledge,cloud comput evolv from earlier technologies. state them.,Apply,Remember,Apply
Briefly  explain  any  TWO  (2) observations  of information  technology trend using Moore's Law.,Comprehension,briefli explain ani two (2) observ of inform technolog trend use moore' law.,Understand,Understand,Understand
Relate cycle-time reduction to improved performance. Justify your answer.,Evaluation,relat cycle-tim reduct to improv performance. justifi your answer.,Understand,Understand,Understand
Define privacy.,Knowledge,defin privacy.,Remember,Remember,Remember
"In your own words, describe Supply Chain Management (SCM).",Comprehension,"in your own words, describ suppli chain manag (scm).",Understand,Remember,Understand
"In  your  opinion,  discuss  how  modern   supply  chain  management systems facilitate a pull-based  model.",Comprehension,"in your opinion, discu how modern suppli chain manag system facilit a pull-bas model.",Understand,Evaluate,Understand
Define the term Radio Frequency Identification (RFID).,Knowledge,defin the term radio frequenc identif (rfid).,Remember,Remember,Remember
Explain how RFID provides value to businesses.,Comprehension,explain how rfid provid valu to businesses.,Evaluate,Evaluate,Evaluate
"Use Porter's five competitive forces to analyze FiredUp, Inc.",Application,"use porter' five competit forc to analyz firedup, inc.",Apply,Apply,Apply
Explain how GST approach can be deployed in the context of Accounting Information System.,Application,explain how gst approach can be deploy in the context of account inform system.,Understand,Evaluate,Understand
"Base on the case study given, summarize THREE (3) ISM security problems.",Comprehension,"base on the case studi given, summar three (3) ism secur problems.",Create,Create,Create
Classify information systems based on the support IS can provide.,Comprehension,classifi inform system base on the support is can provide.,Analyze,Analyze,Analyze
Explain how Referral Networks approach can be used as a tool to increase number of customers.,Application,explain how referr network approach can be use a a tool to increas number of customers.,Apply,Evaluate,Understand
Draw the diagrams for a centralized database and a distributed database.,Comprehension,draw the diagram for a central databas and a distribut database.,Analyze,Remember,Analyze
Explain how the future of social media can be explained by Web 3.0.  ,Comprehension,explain how the futur of social medium can be explain by web 3.0.,Understand,Evaluate,Understand
Define knowledge and provide an example of knowledge produced by a vehicle management system.,Knowledge,defin knowledg and provid an exampl of knowledg produc by a vehicl manag system.,Apply,Remember,Analyze
Identify PayPal's business model.,Knowledge,identifi paypal' busi model.,Analyze,Analyze,Analyze
Scaling methods can improve the performance of the web site. Propose to Jane which scaling method suit her current business needs. Justify your answer.,Evaluation,scale method can improv the perform of the web site. propos to jane which scale method suit her current busi needs. justifi your answer.,Create,Create,Create
Define CRM and discuss how the CRM can be implemented in the business environment.,Application,defin crm and discu how the crm can be implement in the busi environment.,Understand,Apply,Understand
Examine how e-commerce facilitates Value Chain and Supply Chain.,Analysis,examin how e-commerc facilit valu chain and suppli chain.,Analyze,Evaluate,Analyze
Explain how auction is related to dynamic pricing.,Comprehension,explain how auction is relat to dynam pricing.,Understand,Understand,Understand
Compare and contrast Address Verification  System (AVS) and Card verification number (CVN).,Analysis,compar and contrast address verif system (avs) and card verif number (cvn).,Analyze,Understand,Analyze
Provide THREE (3) justification on how would the university community be encouraged to place orders and become loyal customers.,Evaluation,provid three (3) justif on how would the univers commun be encourag to place order and becom loyal customers.,Analyze,Analyze,Analyze
Personalization is becoming an important element in Electronic Commerce. Explain TWO (2) techniques that can be used to learn about consumer behavior and how it can be used to facilitate customer service.,Comprehension,person is becom an import element in electron commerce. explain two (2) techniqu that can be use to learn about consum behavior and how it can be use to facilit custom service.,Apply,Apply,Apply
Provide TWO (2) suggestions on how a Web presence help Columbiana's government.,Synthesis,provid two (2) suggest on how a web presenc help columbiana' government.,Analyze,Analyze,Analyze
Briefly  discuss  how  TQM  could  be  applied  m  the  management  of  the newspapers' editorials.,Application,briefli discu how tqm could be appli m the manag of the newspapers' editorials.,Apply,Apply,Apply
"Based on your observation of the local newspaper industry, discuss and state your stance on whether gender affects professional news selection.",Evaluation,"base on your observ of the local newspap industry, discu and state your stanc on whether gender affect profession news selection.",Understand,Understand,Understand
Discuss how far you agree with this statement with emphasis on circulation management of a newspaper company.,Evaluation,discu how far you agre with thi statement with emphasi on circul manag of a newspap company.,Understand,Evaluate,Understand
Argue critically with relevant examples.,Evaluation,argu critic with relev examples.,Evaluate,Evaluate,Evaluate
Critically discuss the quote above and explain FIVE(5) ways the interest groups can be more effective with relevant examples.,Analysis,critic discu the quot abov and explain five(5) way the interest group can be more effect with relev examples.,Analyze,Analyze,Analyze
Critically analyze and discuss the problems with secondary data. Provide relevant examples to support your answer.,Analysis,critic analyz and discu the problem with secondari data. provid relev exampl to support your answer.,Understand,Understand,Analyze
Describe the term 'urbanization' and discuss how urbanization influences the development of marketing and advertising strategies.,Comprehension,describ the term 'urbanization' and discu how urban influenc the develop of market and advertis strategies.,Understand,Understand,Understand
Critically discuss how demographic characteristics would affect a product development in a foreign market.,Analysis,critic discu how demograph characterist would affect a product develop in a foreign market.,Understand,Understand,Understand
Analyze and discuss the challenges and opportunities that social media creates.,Analysis,analyz and discu the challeng and opportun that social medium creates.,Understand,Understand,Understand
Critically analyze the image above and discuss the strategic decisions associated with the appeals of the advertisement.,Analysis,critic analyz the imag abov and discu the strateg decis associ with the appeal of the advertisement.,Understand,Understand,Understand
Show how NLP techniques can be deployed in business.,Application,show how nlp techniqu can be deploy in business.,Apply,Apply,Apply
Suggest THREE (3) ethical considerations that ANA advertisers should take into account in designing commercials.,Synthesis,suggest three (3) ethic consider that ana advertis should take into account in design commercials.,Create,Create,Create
Create a poster that promote jeans to local senior citizen which appeal directly to a multiracial citizen in Malaysia.,Synthesis,creat a poster that promot jean to local senior citizen which appeal directli to a multiraci citizen in malaysia.,Create,Create,Create
Select a local 'HOMEGROWN' brand and discuss its international marketing mix.,Comprehension,select a local 'homegrown' brand and discu it intern market mix.,Understand,Apply,Understand
Critically discuss FOUR (4) main dimensions that used to  classify countries based on Hofstede's Cultural Dimensions Theory.,Analysis,critic discu four (4) main dimens that use to classifi countri base on hofstede' cultur dimens theory.,Analyze,Apply,Analyze
Compare and contrast between low context cultures and high context cultures. ,Analysis,compar and contrast between low context cultur and high context cultures.,Analyze,Understand,Analyze
Critically discuss the THREE (3) options in handling the international media planning or buying.,Analysis,critic discu the three (3) option in handl the intern medium plan or buying.,Analyze,Evaluate,Analyze
Design an ideal newspaper organisational chart. Then describe the functions of the respective departments and how they relate to each other � horizontally and vertically.,Synthesis,design an ideal newspap organis chart. then describ the function of the respect depart and how they relat to each other � horizont and vertically.,Understand,Understand,Understand
Demonstrate email and social media approaches to create effective marketing plan.,Application,demonstr email and social medium approach to creat effect market plan.,Apply,Apply,Apply
Examine the two roles and show how newspaper managers can successfully draw a balance between their economic role and social role.   ,Analysis,examin the two role and show how newspap manag can success draw a balanc between their econom role and social role.,Evaluate,Evaluate,Analyze
Suggest a house-style and editorial policies for your newly introduced newspaper targeted at young readers aged between 15 to 25 years.,Synthesis,suggest a house-styl and editori polici for your newli introduc newspap target at young reader age between 15 to 25 years.,Analyze,Analyze,Analyze
Examine how conventional newspaper can continue to maintain its circulation with the easy access to alternative information on the web.,Analysis,examin how convent newspap can continu to maintain it circul with the easi access to altern inform on the web.,Analyze,Analyze,Analyze
"As an editor-in-chief, suggest how you can motivate your experienced journalists to remain with your paper.",Synthesis,"a an editor-in-chief, suggest how you can motiv your experienc journalist to remain with your paper.",Analyze,Analyze,Analyze
Discuss the factors that you think may have affected the quality of newspapers in Malaysia and identify the key elements for a successful newspaper .,Analysis,discu the factor that you think may have affect the qualiti of newspap in malaysia and identifi the key element for a success newspap .,Understand,Understand,Understand
List any five departments and discuss the relations between these departments and the importance of depending on each other.,Analysis,list ani five depart and discu the relat between these depart and the import of depend on each other.,Understand,Understand,Understand
PEST and SWOT are popular strategy tools. Discuss how the TWO(2) tools can be applied in manufacturing business environment.,Application,pest and swot are popular strategi tools. discu how the two(2) tool can be appli in manufactur busi environment.,Understand,Apply,Understand
"Evaluate the performance of Malaysian newspapers and comment on what you think they should do to win back readers, particularly those who show preference for online news.",Evaluation,"evalu the perform of malaysian newspap and comment on what you think they should do to win back readers, particularli those who show prefer for onlin news.",Apply,Apply,Apply
Prepare a research  proposal on a study that you have to conduct on the purchasing behaviour of teenagers in the Klang Valley.,Synthesis,prepar a research propos on a studi that you have to conduct on the purchas behaviour of teenag in the klang valley.,Apply,Create,Apply
Evaluate the need for ethics in research.,Evaluation,evalu the need for ethic in research.,Analyze,Analyze,Analyze
Explain the case study research method and distinguish between single and multiple case study design.,Analysis,explain the case studi research method and distinguish between singl and multipl case studi design.,Analyze,Create,Analyze
Argue the case for conducting experimental research involving humans and propose guidelines to ensure that the dignity and welfare of the subjects are maintained.,Evaluation,argu the case for conduct experiment research involv human and propos guidelin to ensur that the digniti and welfar of the subject are maintained.,Evaluate,Create,Evaluate
Differentiate between qualitative research and quantitative research in terms of their goal and design.,Analysis,differenti between qualit research and quantit research in term of their goal and design.,Analyze,Create,Analyze
Develop a questionnaire based on at least FOUR open-ended and FOUR closed-ended questions for the interviews.,Synthesis,develop a questionnair base on at least four open-end and four closed-end question for the interviews.,Analyze,Analyze,Analyze
Analyze the purpose of having a Purchasing Department in an organization.,Analysis,analyz the purpos of have a purchas depart in an organization.,Analyze,Analyze,Analyze
Distinguish Paradox of the Commons from Tragedy of the Commons.,Analysis,distinguish paradox of the common from tragedi of the commons.,Analyze,Analyze,Analyze
